iata,icao,name
EI,EIN,Aer Lingus
AM,AMX,Aeromexico
AC,ACA,Air Canada
CA,CCA,Air China
UX,AEA,Air Europa
AF,AFR,Air France
AI,AIC,Air India
NZ,ANZ,Air New Zealand
YP,APZ,Air Premia
JU,ASL,Air Serbia
AS,ASA,Alaska Airlines
G4,AAY,Allegiant Air
AA,AAL,American Airlines
NH,ANA,ANA - All Nippon Airways
IZ,AIZ,Arkia Israeli Airlines
OZ,AAR,Asiana Airlines
OS,AUA,Austrian Airlines
XP,VXP,Avelo Airlines
AV,AVA,Avianca
2Z,BDA,BermudAir
MX,MXY,Breeze Airways
BA,BAW,British Airways
SN,BEL,Brussels Airlines
9K,KAP,Cape Air
BW,BWA,Caribbean Airlines
CX,CPA,Cathay Pacific
KX,CAY,Cayman Airways
CI,CAL,China Airlines
MU,CES,China Eastern Airlines
CZ,CSN,China Southern Airlines
DE,CFG,Condor
LF,VTE,Contour Airlines
CM,CMP,Copa Airlines
DL,DAL,Delta Air Lines
MS,MSR,EgyptAir
LY,ELY,El Al
EK,UAE,Emirates
ET,ETH,Ethiopian Airlines
EY,ETD,Etihad Airways
BR,EVA,EVA Air
AY,FIN,Finnair
F9,FFT,Frontier Airlines
G3,GLO,GOL Linhas Aereas
GF,GFA,Gulf Air
HA,HAL,Hawaiian Airlines
H4,HYY,HiSky Europe
IB,IBE,Iberia
FI,ICE,Icelandair
AZ,ITY,ITA Airways
JL,JAL,Japan Airlines
B6,JBU,JetBlue Airways
KQ,KQA,Kenya Airways
KL,KLM,KLM Royal Dutch Airlines
KE,KAL,Korean Air
KU,KAC,Kuwait Airways
LA,LAN,LATAM Airlines
LL,LVL,LEVEL
LO,LOT,LOT Polish Airlines
LH,DLH,Lufthansa
NO,NOS,Neos
N0,NBT,Norse Atlantic Airways
PR,PAL,Philippine Airlines
PD,POE,Porter Airlines
N,,Private / Tail number
QF,QFA,Qantas
QR,QTR,Qatar Airways
AT,RAM,Royal Air Maroc
RJ,RJA,Royal Jordanian
S4,RZO,SATA Azores Airlines
SV,SVA,Saudia
SK,SAS,Scandinavian Airlines (SAS)
SQ,SIA,Singapore Airlines
9X,FDY,Southern Airways Express
WN,SWA,Southwest Airlines
SY,SCX,Sun Country Airlines
LX,SWR,SWISS
TP,TAP,TAP Air Portugal
TK,THY,Turkish Airlines
UA,UAL,United Airlines
HY,UZB,Uzbekistan Airways
VS,VIR,Virgin Atlantic
VB,VIV,Viva Aerobus
Y4,VOI,Volaris
WS,WJA,WestJet
MF,CXA,Xiamen Airlines
