id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,country,city,icao_code,iata_code,State,timezone,serves_ground_transport,has_scheduled_service
16091,KABQ,large_airport,Albuquerque International Sunport,35.039976,-106.608925,5355,US,Albuquerque,KABQ,ABQ,NM,America/Denver,true,true
3371,KALB,large_airport,Albany International Airport,42.748299,-73.801697,285,US,Albany,KALB,ALB,NY,America/New_York,true,true
3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026,US,Atlanta,KATL,ATL,GA,America/New_York,true,true
3386,KAUS,large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,542,US,Austin,KAUS,AUS,TX,America/Chicago,true,true
3396,KBDL,large_airport,Bradley International Airport,41.938555,-72.688016,173,US,Hartford,KBDL,BDL,CT,America/New_York,true,true
3406,KBHM,large_airport,Birmingham-Shuttlesworth International Airport,33.562877,-86.750712,650,US,Birmingham,KBHM,BHM,AL,America/Chicago,true,true
3420,KBNA,large_airport,Nashville International Airport,36.1245,-86.6782,599,US,Nashville,KBNA,BNA,TN,America/Chicago,true,true
3421,KBOI,large_airport,Boise Air Terminal/Gowen Field,43.5644,-116.223,2871,US,Boise,KBOI,BOI,ID,America/Boise,true,true
3422,KBOS,large_airport,Boston Logan International Airport,42.36197,-71.0079,20,US,Boston,KBOS,BOS,MA,America/New_York,true,true
3431,KBUF,large_airport,Buffalo Niagara International Airport,42.940498,-78.732201,728,US,Buffalo,KBUF,BUF,NY,America/New_York,true,true
3432,KBUR,large_airport,Hollywood Burbank/Bob Hope Airport,34.202834,-118.35805,778,US,Burbank,KBUR,BUR,CA,America/Los_Angeles,true,true
3435,KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146,US,Baltimore,KBWI,BWI,MD,America/New_York,true,true
3450,KCHS,large_airport,Charleston International Airport,32.896159,-80.038151,46,US,Charleston,KCHS,CHS,SC,America/New_York,true,true
3454,KCLE,large_airport,Cleveland Hopkins International Airport,41.411701,-81.8498,791,US,Cleveland,KCLE,CLE,OH,America/New_York,true,true
3457,KCLT,large_airport,Charlotte Douglas International Airport,35.2140007019043,-80.9430999755859,748,US,Charlotte,KCLT,CLT,NC,America/New_York,true,true
3458,KCMH,large_airport,John Glenn Columbus International Airport,39.998001,-82.891899,815,US,Columbus,KCMH,CMH,OH,America/New_York,true,true
3463,KCOS,large_airport,City of Colorado Springs Municipal Airport,38.805801,-104.700996,6187,US,Colorado Springs,KCOS,COS,CO,America/Denver,true,true
3471,KCVG,large_airport,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,896,US,Cincinnati / Covington,KCVG,CVG,KY,America/New_York,true,true
3479,KDAL,large_airport,Dallas Love Field,32.844776,-96.847653,487,US,Dallas,KDAL,DAL,TX,America/Chicago,true,true
3483,KDCA,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,15,US,Washington,KDCA,DCA,DC,America/New_York,true,true
3486,KDEN,large_airport,Denver International Airport,39.860027,-104.673792,5431,US,Denver,KDEN,DEN,CO,America/Denver,true,true
3488,KDFW,large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,607,US,Dallas-Fort Worth,KDFW,DFW,TX,America/Chicago,true,true
3496,KDSM,large_airport,Des Moines International Airport,41.534027,-93.656719,958,US,Des Moines,KDSM,DSM,IA,America/Chicago,true,true
3497,KDTW,large_airport,Detroit Metropolitan Wayne County Airport,42.21377,-83.353786,645,US,Detroit,KDTW,DTW,MI,America/Detroit,true,true
3512,KELP,large_airport,El Paso International Airport,31.809908,-106.375607,3959,US,El Paso,KELP,ELP,TX,America/Denver,true,true
3521,KEWR,large_airport,Newark Liberty International Airport,40.6894,-74.170545,18,US,Newark,KEWR,EWR,NJ,America/New_York,true,true
3524,KFAT,large_airport,Fresno Yosemite International Airport,36.775767,-119.718018,336,US,Fresno,KFAT,FAT,CA,America/Los_Angeles,true,true
3531,KFLL,large_airport,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,9,US,Fort Lauderdale,KFLL,FLL,FL,America/New_York,true,true
3552,KGEG,large_airport,Spokane International Airport,47.6199,-117.533997,2376,US,Spokane,KGEG,GEG,WA,America/Los_Angeles,true,true
3566,KGRR,large_airport,Gerald R. Ford International Airport,42.880798,-85.522797,794,US,Grand Rapids,KGRR,GRR,MI,America/Detroit,true,true
3568,KGSO,large_airport,Piedmont Triad International Airport,36.09937,-79.937262,925,US,Greensboro,KGSO,GSO,NC,America/New_York,true,true
3588,KHOU,large_airport,William P. Hobby Airport,29.645336,-95.276812,46,US,Houston,KHOU,HOU,TX,America/Chicago,true,true
3602,KIAD,large_airport,Washington Dulles International Airport,38.9445,-77.455803,312,US,Dulles,KIAD,IAD,VA,America/New_York,true,true
3604,KIAH,large_airport,George Bush Intercontinental Airport,29.9844,-95.3414,97,US,Houston,KIAH,IAH,TX,America/Chicago,true,true
3610,KIND,large_airport,Indianapolis International Airport,39.7173,-86.294403,797,US,Indianapolis,KIND,IND,IN,America/Indiana/Indianapolis,true,true
3620,KJAX,large_airport,Jacksonville International Airport,30.492469,-81.687813,30,US,Jacksonville,KJAX,JAX,FL,America/New_York,true,true
3622,KJFK,large_airport,John F. Kennedy International Airport,40.639447,-73.779317,13,US,New York,KJFK,JFK,NY,America/New_York,true,true
3631,KLAS,large_airport,Harry Reid International Airport,36.083361,-115.151817,2181,US,Las Vegas,KLAS,LAS,NV,America/Los_Angeles,true,true
3632,KLAX,large_airport,Los Angeles International Airport,33.942501,-118.407997,125,US,Los Angeles,KLAX,LAX,CA,America/Los_Angeles,true,true
3643,KLGA,large_airport,LaGuardia Airport,40.777199,-73.872597,21,US,New York,KLGA,LGA,NY,America/New_York,true,true
3644,KLGB,large_airport,Long Beach International Airport,33.816523,-118.149891,60,US,Long Beach,KLGB,LGB,CA,America/Los_Angeles,true,true
